n,mean,low,high,function
95,0.0026747480000003064,0.0022266975000007957,0.0038296424999954225,rm3
96,0.001632968000000048,0.0015219974999997276,0.0020440575000021605,rm3
97,0.0033174899999997365,0.0028327974999982075,0.00489431250000063,rm3
98,0.0036260320000000234,0.0028958075000026897,0.005110915000000915,rm3
99,0.004717596999999927,0.002752405000002156,0.009179884999999818,rm3
100,0.0032626810000002137,0.002775042500000246,0.004782400000000208,rm3
101,0.003171032999999923,0.002728892500000235,0.004770017499997791,rm3
102,0.0025900309999993,0.002345562499998799,0.004024832499999497,rm3
103,0.0030564200000000596,0.0026741550000011216,0.0047243950000014565,rm3
104,0.0035136679999998675,0.003107287500000311,0.005849799999999482,rm3
105,0.004053279000000245,0.0026568350000005124,0.00525006999999924,rm3
106,0.002729504000000418,0.0022199624999995394,0.004129172499998468,rm3
107,0.003191548999999867,0.002838647500001201,0.0037431700000004394,rm3
108,0.003425946000000124,0.002978054999996438,0.005358379999997354,rm3
109,0.003191448999999835,0.0028926225000033053,0.0035012499999991665,rm3
110,0.002584838000000218,0.002347002500004436,0.003159127500002508,rm3
111,0.003127487000000215,0.0030392275000004076,0.0035975300000021786,rm3
112,0.0038390520000001517,0.003221717500001375,0.006836882499997542,rm3
113,0.004249090999999936,0.002882617500000073,0.005672604999999286,rm3
114,0.003539884000000342,0.003087017500001288,0.00554384250000197,rm3
115,0.004187801000000206,0.003565835000001805,0.006229679999997373,rm3
116,0.0038209800000002046,0.003494942500000775,0.005135405000000221,rm3
117,0.003475459000000214,0.0033912150000006136,0.0039381500000020605,rm3
118,0.003938084000000259,0.0033689624999961865,0.0060020599999967665,rm3
119,0.002140404000000089,0.0017788325000008599,0.0032651700000036143,rm3
120,0.0036396459999998854,0.002883687500002452,0.005336259999998561,rm3
121,0.004138147000000174,0.003064914999999502,0.0064818174999983205,rm3
122,0.0036342840000006048,0.0030015824999992447,0.006044142500001293,rm3
123,0.0028534289999997495,0.0027709474999983996,0.0032856024999977857,rm3
124,0.0029147320000001285,0.0028294475000002705,0.003373607500002862,rm3
125,0.005178935999999936,0.0031127299999965884,0.005726047499998898,rm3
126,0.005427373000000557,0.004938139999994817,0.007001902499999343,rm3
127,0.005084027999999705,0.004620897500007715,0.006293920000003083,rm3
128,0.005066806999999471,0.004973747499997572,0.005444647499999886,rm3
